Date,Date_prev,Close,Return
2018/8/1,2018/7/31,2901.52002,0.030263211
2018/9/1,2018/8/31,2913.97998,0.004294287
2018/10/1,2018/9/30,2711.73999,-0.069403356
2018/11/1,2018/10/31,2760.169922,0.017859357
2018/12/1,2018/11/30,2506.850098,-0.091776895
2019/1/1,2018/12/31,2704.100098,0.078684402
2019/2/1,2019/1/31,2784.48999,0.029728889
2019/3/1,2019/2/28,2834.399902,0.017924256
2019/4/1,2019/3/31,2945.830078,0.039313498
2019/5/1,2019/4/30,2752.060059,-0.065777731
2019/6/1,2019/5/31,2941.76001,0.068930164
2019/7/1,2019/6/30,2980.379883,0.013128152
2019/8/1,2019/7/31,2926.459961,-0.018091627
2019/9/1,2019/8/31,2976.73999,0.017181178
2019/10/1,2019/9/30,3037.560059,0.020431771
2019/11/1,2019/10/31,3140.97998,0.034047038
2019/12/1,2019/11/30,3230.780029,0.028589819
2020/1/1,2019/12/31,3225.52002,-0.001628093
2020/2/1,2020/1/31,2954.219971,-0.084110484
2020/3/1,2020/2/29,2584.590088,-0.125119282
2020/4/1,2020/3/31,2912.429932,0.126844038
2020/5/1,2020/4/30,3044.310059,0.04528182
2020/6/1,2020/5/31,3100.290039,0.018388397
2020/7/1,2020/6/30,3271.120117,0.055101321
2020/8/1,2020/7/31,3500.310059,0.070064667
2020/9/1,2020/8/31,3363,-0.03922797
2020/10/1,2020/9/30,3269.959961,-0.027665786
2020/11/1,2020/10/31,3621.629883,0.107545635
2020/12/1,2020/11/30,3756.070068,0.037121459
2021/1/1,2020/12/31,3714.23999,-0.011136661
2021/2/1,2021/1/31,3811.149902,0.026091451
2021/3/1,2021/2/28,3972.889893,0.042438633
2021/4/1,2021/3/31,4181.169922,0.052425321
2021/5/1,2021/4/30,4204.109863,0.005486489
2021/6/1,2021/5/31,4297.5,0.02221401
2021/7/1,2021/6/30,4395.259766,0.022748055
2021/8/1,2021/7/31,4522.680176,0.028990416
2021/9/1,2021/8/31,4307.540039,-0.047569169
2021/10/1,2021/9/30,4605.379883,0.069143836
2021/11/1,2021/10/31,4567,-0.008333706
2021/12/1,2021/11/30,4766.180176,0.043612913
2022/1/1,2021/12/31,4515.549805,-0.052585165
2022/2/1,2022/1/31,4373.939941,-0.031360492
2022/3/1,2022/2/28,4530.410156,0.035773288
2022/4/1,2022/3/31,4131.930176,-0.087956712
2022/5/1,2022/4/30,4132.149902,5.32E-05
2022/6/1,2022/5/31,3785.379883,-0.08392
2022/7/1,2022/6/30,4130.290039,0.091116392
2022/8/1,2022/7/31,3955,-0.042440128
2022/9/1,2022/8/31,3585.620117,-0.093395672
2022/10/1,2022/9/30,3871.97998,0.079863414
2022/11/1,2022/10/31,4080.110107,0.053752893
2022/12/1,2022/11/30,3839.5,-0.058971474
2023/1/1,2022/12/31,4076.600098,0.061752858
2023/2/1,2023/1/31,3970.149902,-0.026112494
2023/3/1,2023/2/28,4109.310059,0.035051613
2023/4/1,2023/3/31,4169.47998,0.014642342
2023/5/1,2023/4/30,4179.830078,0.002482347
2023/6/1,2023/5/31,4450.379883,0.064727465
2023/7/1,2023/6/30,4588.959961,0.031138932
2023/8/1,2023/7/31,4507.660156,-0.01771639
2023/9/1,2023/8/31,4288.049805,-0.048719367
2023/10/1,2023/9/30,4193.799805,-0.021979689
2023/11/1,2023/10/31,4567.799805,0.089179269
2023/12/1,2023/11/30,4769.830078,0.044229231
2024/1/1,2023/12/31,4845.649902,0.015895708
2024/2/1,2024/1/31,5096.27002,0.051720641
2024/3/1,2024/2/29,5254.350098,0.03101878
2024/4/1,2024/3/31,5035.689941,-0.041615072
2024/5/1,2024/4/30,5277.509766,0.04802119
